ID,Company Id,Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares
G5084,G006,NJUL,INNOVATOR ETFS TR,CMN,45782C276,347,0,8166
G4799,G006,SLYG,SPDR SER TR,CMN,78464A201,590,0,8179
G5074,G006,TSEM,TOWER SEMICONDUCTOR LTD,CMN,M87915274,354,0,8200
G5177,G006,TZA,DIREXION SHS ETF TR,CMN,2.55E+236,289,0,8217
G5274,G006,STLV,ISHARES TR,CMN,46436E304,221,0,8314
G5145,G006,WEBS,DIREXION SHS ETF TR,CMN,25460G666,307,0,8344
G4970,G006,PHO,INVESCO EXCHANGE TRADED FD T,CMN,46137V142,430,0,8345
G4688,G006,BBRE,J P MORGAN EXCHANGE TRADED F,CMN,46641Q738,683,0,8380
G3911,G006,IGV,ISHARES TR,CMN,464287515,2149,0,8400
G4596,G006,COF,CAPITAL ONE FINL CORP,CMN,14040H105,799,0,8600
G5291,G006,INBK,FIRST INTERNET BANCORP,CMN,320557101,211,0,8721
G4748,G006,PXQ,INVESCO EXCHANGE TRADED FD T,CMN,46137V688,626,0,8871
G5218,G006,NA-213,DIREXION SHS ETF TR,CMN,25461A601,259,0,8925
G5103,G006,EVBN,EVANS BANCORP INC,CMN,29911Q208,334,0,8948
G5312,G006,OVLY,OAK VY BANCORP OAKDALE CALIF,CMN,671807105,203,0,8968
G4994,G006,FYT,FIRST TR EXCHANGE-TRADED ALP,CMN,33737M409,406,0,9021
G5240,G006,ECH,ISHARES INC,CMN,464286640,244,0,9032
G5095,G006,JMOM,J P MORGAN EXCHANGE TRADED F,CMN,46641Q779,341,0,9049
G4782,G006,JOUT,JOHNSON OUTDOORS INC,CMN,479167108,603,0,9129
G5276,G006,IQDY,FLEXSHARES TR,CMN,33939L829,220,0,9150
G5244,G006,HURC,HURCO CO,CMN,447324104,240,0,9203
G4648,G006,XES,SPDR SER TR,CMN,78468R549,739,0,9276
G3943,G006,ITW,ILLINOIS TOOL WKS INC,CMN,452308109,2048,0,9300
G3944,G006,ITW,ILLINOIS TOOL WKS INC,CMN,452308109,2048,0,9300
G5139,G006,FXU,FIRST TR EXCHANGE TRADED FD,CMN,33734X184,309,0,9306
G5080,G006,AMNB,AMERICAN NATL BANKSHARES INC,CMN,27745108,348,0,9444
G3299,G006,ULTA,ULTA BEAUTY INC,CMN,90384S303,4456,0,9500
G4872,G006,XMLV,INVESCO EXCH TRADED FD TR II,CMN,4.61E+202,511,0,9562
G5078,G006,PFM,INVESCO EXCHANGE TRADED FD T,CMN,46137V506,350,0,9584
G4812,G006,DTD,WISDOMTREE TR,CMN,97717W109,581,0,9587
G4946,G006,VSEC,VSE CORP,CMN,918284100,449,0,9591
G4949,G006,FV,FIRST TR EXCHANGE-TRADED FD,CMN,33738R605,447,0,9611
G5100,G006,LEMB,ISHARES INC,CMN,464286517,337,0,9717
G5250,G006,EWJV,ISHARES TR,CMN,46435U374,238,0,9750
G5111,G006,DCBO.TO,DOCEBO INC,CMN,25609L105,328,0,9911
G1836,G006,TPL,TEXAS PACIFIC LAND CORPORATI,CMN,88262P102,23289,0,9935
G5262,G006,EJUL,INNOVATOR ETFS TR,CMN,45782C714,227,0,9947
G5229,G006,NA-214,DIREXION SHS ETF TR,CMN,25461A403,252,0,9973
G5253,G006,MBCC,NORTHERN LTS FD TR IV,CMN,66538H252,236,0,9978
G4539,G006,CCF,CHASE CORP,CMN,16150R104,862,0,9994
G4239,G006,LGLV,SPDR SER TR,CMN,78468R804,1356,0,10000
G5216,G006,NTNX,NUTANIX INC,CMN,67059N108,260,0,10000
G5187,G006,OGN,ORGANON & CO,CMN,68622V106,279,0,10000
G5618,G006,SST,SYSTEM1 INC,CMN,87200P109,46,0,10000
G5039,G006,CENT,CENTRAL GARDEN & PET CO,CMN,153527106,375,0,10017
G5927,G006,ITAQW,INDUSTRIAL TECH ACQSTNS II I,WTS,45635R116,0,0,10029
G5091,G006,TEQI,T ROWE PRICE ETF INC,CMN,87283Q206,342,0,10051
G4828,G006,CMF,ISHARES TR,CMN,464288356,564,0,10059
G5287,G006,DFAR,DIMENSIONAL ETF TRUST,CMN,25434V823,212,0,10066
G5795,G006,AVRO,AVROBIO INC,CMN,05455M100,7,0,10082
G5476,G006,ATNM,ACTINIUM PHARMACEUTICALS INC,CMN,00507W206,107,0,10090
G5481,G006,NA-236,MOONLAKE IMMUNOTHERAPEUTICS,CMN,61559X104,106,0,10110
G5217,G006,BAB,INVESCO EXCH TRADED FD TR II,CMN,46138G805,260,0,10130
G5619,G006,CULP,CULP INC,CMN,230215105,46,0,10156
G5351,G006,JAKK,JAKKS PAC INC,CMN,47012E403,178,0,10222
G5275,G006,ISTR,INVESTAR HLDG CORP,CMN,46134L105,221,0,10268
G5923,G006,NA-320,FATHOM DIGITAL MFG CORP,WTS,31189Y111,0,0,10268
G5611,G006,IMRX,IMMUNEERING CORP,CMN,4.53E+111,49,0,10277
G5251,G006,ROM,PROSHARES TR,CMN,74347R693,237,0,10331
G5850,G006,ASXC,ASENSUS SURGICAL INC,CMN,04367G103,3,0,10425
G5584,G006,LINC,LINCOLN EDL SVCS CORP,CMN,533535100,60,0,10433
G4646,G006,PDP,INVESCO EXCHANGE TRADED FD T,CMN,46137V837,742,0,10450
G5630,G006,NA-252,SEASTAR MEDICAL HOLDING CORP,CMN,81256L104,42,0,10469
G5885,G006,NA-307,BIOMX INC,UNT,09090D202,2,0,10492
G5771,G006,GTBP,GT BIOPHARMA INC,CMN,36254L209,9,0,10545
G5465,G006,EDAP,EDAP TMS S A,CMN,268311107,112,0,10546
G5690,G006,CISO,CERBERUS CYBER SENTINEL CORP,CMN,15672X102,26,0,10553
G5951,G006,VBOCW,VISCOGLIOSI BROS ACQUISTN CO,WTS,92838K118,0,0,10595
G5473,G006,SGHLU,SIGNAL HILL ACQUISITION CORP,UNT,82664R204,108,0,10600
G5352,G006,IFV,FIRST TR EXCHANGE-TRADED FD,CMN,33738R886,178,0,10669
G5905,G006,ATNX,ATHENEX INC,CMN,04685N103,1,0,10695
G5060,G006,AROW,ARROW FINL CORP,CMN,42744102,362,0,10699
G5696,G006,NA-264,VOX ROYALTY CORP,CMN,92919F103,24,0,10700
G5693,G006,NA-262,INTER & CO INC,CMN,G4R20B107,25,0,10702
G5691,G006,LVLU,LULUS FASHION LOUNGE HOLDING,CMN,55003A108,26,0,10720
G5857,G006,KXIN,KAIXIN AUTO HLDGS,CMN,G5223X100,3,0,10757
G5955,G006,VPCBW,VPC IMPACT ACQUISITION HLDG,WTS,G9460L118,0,0,10783
G4983,G006,JQUA,J P MORGAN EXCHANGE TRADED F,CMN,46641Q761,418,0,10809
G5469,G006,TERN,TERNS PHARMACEUTICALS INC,CMN,880881107,110,0,10830
G4892,G006,FUTY,FIDELITY COVINGTON TRUST,CMN,316092865,494,0,10859
G5587,G006,EXAI,EXSCIENTIA PLC,CMN,30223G102,58,0,10909
G4744,G006,EEMX,SPDR INDEX SHS FDS,CMN,7.85E+209,628,0,10958
G5568,G006,BLZE,BACKBLAZE INC,CMN,05637B105,67,0,10969
G5114,G006,EMQQ,EXCHANGE TRADED CONCEPTS TR,CMN,301505889,327,0,11000
G4113,G006,ITIC,INVESTORS TITLE CO NC,CMN,461804106,1623,0,11000
G5884,G006,JCICW,JACK CREEK INVESTMENT CORP,WTS,G4989X123,2,0,11008
G5406,G006,PEPG,PEPGEN INC,CMN,713317105,147,0,11026
G5468,G006,NVSAU,NEW VISTA ACQUISITION CORP,UNT,G6529L113,111,0,11033
G5863,G006,RKDA,ARCADIA BIOSCIENCES INC,CMN,39014204,2,0,11033
G5937,G006,AOGOW,AROGO CAPITAL ACQUISITION CO,WTS,42644112,0,0,11064
G5484,G006,ASPS,ALTISOURCE PORTFOLIO SOLNS S,CMN,L0175J104,104,0,11084
G5037,G006,SSTI,SHOTSPOTTER INC,CMN,82536T107,375,0,11094
